,course_code,course_name,faculty,section,date,professor
42,FA316,"PRACTICE IN ENGLISH FOR FINE AND APPLIED ARTS 2
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,320001,TH 09:30-12:30 N/A,-
43,FSD127,"PRINTING DESIGN FOR FASHION
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้ สอนหรืองานบริการการศึกษาคณะฯ)***
ผศ.ศิรินทร์ ใจเที่ยง
ผศ.สรรพจน์ มาพบสุข",คณะศิลปกรรมศาสตร์,900001,"WE 13:30-14:30 N/A
WE 14:30-17:30 N/A","ผศ.ศิรินทร์ ใจเที่ยง
ผศ.สรรพจน์ มาพบสุข"
44,FSD130,"COMPOSITION FOR FASHION DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.บุญช่วย เกิดรี
ผศ.สรรพจน์ มาพบสุข",คณะศิลปกรรมศาสตร์,540001,"TH 13:30-14:30 N/A
TH 14:30-17:30 N/A","ผศ.บุญช่วย เกิดรี
ผศ.สรรพจน์ มาพบสุข"
45,FSD210,"TEXTILE DESIGN FOR FASHION
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ศิรินทร์ ใจเที่ยง
ผศ.สรรพจน์ มาพบสุข",คณะศิลปกรรมศาสตร์,910001,"FR 13:30-14:30 N/A
FR 14:30-17:30 N/A","ผศ.ศิรินทร์ ใจเที่ยง
ผศ.สรรพจน์ มาพบสุข"
46,FSD220,"FASHION DESIGN 1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.ปรุฬห์ลภย์ พฤกษ์โสภี
ผศ.บุญช่วย เกิดรี",คณะศิลปกรรมศาสตร์,213201,"TH 08:30-09:30 N/A
TH 09:30-12:30 N/A","อ.ปรุฬห์ลภย์ พฤกษ์โสภี
ผศ.บุญช่วย เกิดรี"
47,FSD222,"COMPUTER AID DESIGN FOR FASHION
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.จิรัชญา วันจันทร์
ผศ.สรรพจน์ มาพบสุข",คณะศิลปกรรมศาสตร์,768701,"FR 08:30-09:30 N/A
FR 09:30-12:30 N/A","ผศ.จิรัชญา วันจันทร์
ผศ.สรรพจน์ มาพบสุข"
48,FSD240,"CONSTRUCTION PATTERN MAKING 2
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.จิรัชญา วันจันทร์",คณะศิลปกรรมศาสตร์,810001,"MO 08:30-09:30 N/A
MO 09:30-12:30 N/A",-
49,FSD320,"FASHION DESIGN 3
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.จิรัชญา วันจันทร์",คณะศิลปกรรมศาสตร์,540001,"TH 13:30-14:30 N/A
TH 14:30-17:30 N/A",-
50,FSD324,"PORTFOLIO PRESENTATION
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้ สอนหรืองานบริการการศึกษาคณะฯ)***
ผศ.ศิรินทร์ ใจเที่ยง
ผศ.สรรพจน์ มาพบสุข",คณะศิลปกรรมศาสตร์,320001,"TH 08:30-09:30 N/A
TH 09:30-12:30 N/A","ผศ.ศิรินทร์ ใจเที่ยง
ผศ.สรรพจน์ มาพบสุข"
51,FSD340,"DRAPING AND APPAREL PRODUCTION 2
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.ปรุฬห์ลภย์ พฤกษ์โสภี",คณะศิลปกรรมศาสตร์,122301,"TU 08:30-09:30 N/A
TU 09:30-12:30 N/A",-
